scenario,substrate_config,substrate_fraction,revassim_rate,region,year_260_slavic_share_mean,year_260_slavic_share_sd,year_260_pop_mean,run_count
slavic1,cbi_only,0.20,0.000,Albanian Highlands,0.589809,0.254980,299.90,10
slavic1,cbi_only,0.20,0.000,Adriatic Coastal,0.572890,0.239006,239.20,10
slavic1,cbi_only,0.20,0.000,Lower Danubian Frontier,0.874877,0.091847,662.10,10
slavic1,cbi_only,0.20,0.000,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.20,0.005,Carpatho-Balkan Interior,0.281813,0.070462,2257.80,10
slavic1,cbi_only,0.20,0.005,Pannonian Plain,0.387886,0.250768,420.20,10
slavic1,cbi_only,0.20,0.005,Aegean Littoral,0.127858,0.069327,888.90,10
slavic1,cbi_only,0.20,0.005,Peloponnese,0.102097,0.090232,84.30,10
slavic1,cbi_only,0.20,0.005,Albanian Highlands,0.374923,0.253935,253.40,10
slavic1,cbi_only,0.20,0.005,Adriatic Coastal,0.175324,0.209358,197.70,10
slavic1,cbi_only,0.20,0.005,Lower Danubian Frontier,0.886432,0.059608,654.80,10
slavic1,cbi_only,0.20,0.005,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.20,0.015,Carpatho-Balkan Interior,0.154739,0.079198,2562.80,10
slavic1,cbi_only,0.20,0.015,Pannonian Plain,0.490841,0.218610,389.20,10
slavic1,cbi_only,0.20,0.015,Aegean Littoral,0.011261,0.008268,752.00,10
slavic1,cbi_only,0.20,0.015,Peloponnese,0.015140,0.021085,79.80,10
slavic1,cbi_only,0.20,0.015,Albanian Highlands,0.026085,0.032441,193.70,10
slavic1,cbi_only,0.20,0.015,Adriatic Coastal,0.018750,0.020786,197.50,10
slavic1,cbi_only,0.20,0.015,Lower Danubian Frontier,0.862783,0.043307,707.10,10
slavic1,cbi_only,0.20,0.015,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.20,0.030,Carpatho-Balkan Interior,0.057536,0.057842,2381.30,10
slavic1,cbi_only,0.20,0.030,Pannonian Plain,0.208734,0.250112,452.40,10
slavic1,cbi_only,0.20,0.030,Aegean Littoral,0.002463,0.003809,783.80,10
